date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:59	68070/68070	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:35:59%20GMT	https://templatekit.jegtheme.com/shuttle/404-page/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/404-page/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:36:00	134185/134185	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:35:59%20GMT	https://templatekit.jegtheme.com/shuttle/blog/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/blog/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:36:03	142494/142494	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:36:00%20GMT	https://templatekit.jegtheme.com/shuttle/contact-us/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/contact-us/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:36:03	157907/157907	---MCZ	200	added ('OK')	image/jpeg	etag:%22268d3-5e216caf89580;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/bus-image1-1024x691.jpg	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/bus-image1-1024x691.jpg	(from https://templatekit.jegtheme.com/shuttle/)
23:36:03	144797/144797	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202025%2018:36:00%20GMT	https://templatekit.jegtheme.com/shuttle/2022/06/23/your-guide-to-rent-a-bus/	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/2022/06/23/your-guide-to-rent-a-bus/index.html	(from https://templatekit.jegtheme.com/shuttle/)
23:36:03	218013/218013	---MCZ	200	added ('OK')	image/jpeg	etag:%223539d-5e2a5f16591c0;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/elementor/thumbs/man-wearing-a-protective-mask-and-using-a-smartphone-while-keeping-the-distance-in-the-bus-e1656575430517-pr2f07o1sngdbqks1z18uffnc9vfwzb07yt4x13gok.jpg	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/elementor/thumbs/man-wearing-a-protective-mask-and-using-a-smartphone-while-keeping-the-distance-in-the-bus-e1656575430517-pr2f07o1sngdbqks1z18uffnc9vfwzb07yt4	(from https://templatekit.jegtheme.com/shuttle/)
23:36:03	22297/22297	---M-Z	200	added ('OK')	image/jpeg	etag:%225719-5e291783dbac0;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/image-D2C59FF-150x150.jpg	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/image-D2C59FF-150x150.jpg	(from https://templatekit.jegtheme.com/shuttle/)
23:36:03	21708/21708	---M-Z	200	added ('OK')	image/jpeg	etag:%2254cc-5e291785c3f40;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/image-UDE7RNW-150x150.jpg	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/image-UDE7RNW-150x150.jpg	(from https://templatekit.jegtheme.com/shuttle/)
23:36:03	19333/19333	---M-Z	200	added ('OK')	image/jpeg	etag:%224b85-5e291781f3640;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/image-BYJDCJU-150x150.jpg	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/image-BYJDCJU-150x150.jpg	(from https://templatekit.jegtheme.com/shuttle/)
23:36:03	19749/19749	---M-Z	200	added ('OK')	image/jpeg	etag:%224d25-5e291780ff400;61f39880b9910	https://templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/image-4SYRQ95-150x150.jpg	D:/asp/Shuttle/templatekit.jegtheme.com/shuttle/wp-content/uploads/sites/300/2022/06/image-4SYRQ95-150x150.jpg	(from https://templatekit.jegtheme.com/shuttle/)
